Category 2|Category 3|Category 4|Extension|Description
Database|||NV2|QW Page NewViews object oriented accounting database
Database|||ODB|LibreOffice Base or OpenOffice Base database
Database|||ORA|Oracle tablespace files sometimes get this extension (also used for configuration files)
Database|||PCONTACT|WinIM Contact file
Database|||PDB|Palm OS Database
Database|||PDI|Portable Database Image
Database|||PDX|Corel Paradox database management
Database|||PRC|Palm OS resource database
Database|||SQL|bundled SQL queries
Database|||REC|GNU recutils database
Database|||REL|Sage Retrieve 4GL data file
Database|||RIN|Sage Retrieve 4GL index file
Database|||SDB|StarOffice's StarBase
Database|||SDF|SQL Compact Database file
Database|||SQLITE|SQLite
Database|||UDL|Universal Data Link
Database|||waData|Wakanda (software) database Data file
Database|||waIndx|Wakanda (software) database Index file
Database|||waModel|Wakanda (software) database Model file
Database|||waJournal|Wakanda (software) database Journal file
Database|||WDB|Microsoft Works Database
Database|||WMDB|Windows Media Database file – The 
Big Data (Distributed)|||Avro|Data format appropriate for ingestion of record based attributes. Distinguishing characteristic is schema is stored on each row enabling schema evolution.
Big Data (Distributed)|||Parquet|Columnar data storage. It is typically used within the Hadoop ecosystem.
Big Data (Distributed)|||ORC|Similar to Parquet, but has better data compression and schema evolution handling.
Desktop publishing|||AI|Adobe Illustrator
Desktop publishing|||AVE|Aquafadas
Desktop publishing|||ZAVE|Aquafadas
Desktop publishing|||CDR|CorelDRAW
Desktop publishing|||CHP|Ventura Publisher – Xerox (DOS / GEM)
Desktop publishing|||pub|Ventura Publisher – Xerox (DOS / GEM)
Desktop publishing|||STY|Ventura Publisher – Xerox (DOS / GEM)
Desktop publishing|||CAP|Ventura Publisher – Xerox (DOS / GEM)
Desktop publishing|||CIF|Ventura Publisher – Xerox (DOS / GEM)
Desktop publishing|||VGR|Ventura Publisher – Xerox (DOS / GEM)
Desktop publishing|||FRM|Ventura Publisher – Xerox (DOS / GEM)
Desktop publishing|||CPT|Corel Photo-Paint
Desktop publishing|||DTP|Greenstreet Publisher, GST PressWorks
Desktop publishing|||FM|Adobe FrameMaker
Desktop publishing|||GDRAW|Google Drive Drawing
Desktop publishing|||ILDOC|Broadvision Quicksilver document
Desktop publishing|||INDD|Adobe InDesign
Desktop publishing|||MCF|FotoInsight Designer
Desktop publishing|||PDF|Adobe Acrobat or Adobe Reader
Desktop publishing|||PMD|Adobe PageMaker
Desktop publishing|||PPP|Serif PagePlus
Desktop publishing|||PSD|Adobe Photoshop
Desktop publishing|||PUB|Microsoft Publisher
Desktop publishing|||QXD|QuarkXPress
Desktop publishing|||SLA|Scribus
Desktop publishing|||SCD|Scribus
Desktop publishing|||XCF|XCF: File format used by the GIMP, as well as other programs
Document|||0|Plain Text Document, normally used for licensing
Document|||1ST|"Plain Text Document, normally preceded by the words ""README"" (README.1ST)"
Document|||600|Plain Text Document, used in UNZIP history log
Document|||602|Text602 (T602) document
Document|||ABW|AbiWord document
Document|||ACL|MS Word AutoCorrect List
Document|||AFP|Advanced Function Presentation
Document|||AMI|Lotus Ami Pro
Document|||ANS|American National Standards Institute (ANSI) text
Document|||ASC|ASCII text
Document|||AWW|Ability Write
Document|||BBeB|Broad Band EBook
Document|||CCF|Color Chat 1.0
Document|||CSV|ASCII text as comma-separated values, used in spreadsheets and database management systems
Document|||CWK|ClarisWorks-AppleWorks document
Document|||DBK|DocBook XML sub-format
Document|||DITA|Darwin Information Typing Architecture document
Document|||DOC|Microsoft Word document
Document|||DOCM|Microsoft Word macro-enabled document
Document|||DOCX|Office Open XML document
Document|||DOT|Microsoft Word document template
Document|||DOTX|Office Open XML text document template
Document|||DWD|DavkaWriter Heb/Eng word processor file
Document|||EGT|EGT Universal Document
Document|||EPUB|EPUB open standard for e-books
Document|||EVTX|Windows XML EventLog files are system log files used by the Windows operating system
Document|||EZW|Reagency Systems easyOFFER document
Document|||FDX|Final Draft
Document|||FTM|Fielded Text Meta
Document|||FTX|Fielded Text (Declared)
Document|||GDOC|Google Drive Document
Document|||GUIDE|AmigaGuide
Document|||HTML|HyperText Markup Language
Document|||HTM|HyperText Markup Language
Document|||HWP|Haansoft (Hancom) Hangul Word Processor document
Document|||HWPML|Haansoft (Hancom) Hangul Word Processor Markup Language document
Document|||KPUB|Kobo ebook format
Document|||LOG|Text log file
Document|||LWP|Lotus Word Pro
Document|||MBP|metadata for Mobipocket documents
Document|||MD|Markdown text document
Document|||ME|"Plain text document normally preceded by the word ""READ"" (READ.ME)"
Document|||MCW|Microsoft Word for Macintosh (versions 4.0–5.1)
Document|||Mobi|Mobipocket documents
Document|||NB|Mathematica Notebook
Document|||NB|Nota Bene Document (Academic Writing Software)
Document|||NBP|Mathematica Player Notebook
Document|||NEIS|학교생활기록부 작성 프로그램 (Student Record Writing Program) Document
Document|||NT|N-Triples RDF container (.nt)
Document|||NQ|N-Quads RDF container (.nq)
Document|||ODM|OpenDocument master document
Document|||ODOC|Synology Drive Office Document
Document|||ODT|OpenDocument text document
Document|||OSHEET|Synology Drive Office Spreadsheet
Document|||OTT|OpenDocument text document template
Document|||OMM|OmmWriter text document
Document|||PAGES|Apple Pages document
Document|||PAP|Papyrus word processor document
Document|||PER|Canadian Forces Personnel Appraisal System (CFPAS) Personnel Evaluation Report (PER)
Document|||PDR|Canadian Forces Personnel Appraisal System (CFPAS) Personnel Development Report (PDR)
Document|||PDAX|Portable Document Archive (PDA) document index file
Document|||PDF|Portable Document Format
Document|||PROTONDOC|Proton Docs file shortcut
Document|||QUOX|Question Object File Format for Quobject Designer or Quobject Explorer
Document|||Radix-64|Need helps!!!
Document|||RTF|Rich Text document
Document|||RPT|Crystal Reports
Document|||SDW|StarWriter text document, used in earlier versions of StarOffice
Document|||SE|Shuttle Document
Document|||STW|OpenOffice.org XML (obsolete) text document template
Document|||Sxw|OpenOffice.org XML (obsolete) text document
Document|||TeX|TeX
Document|||TMDX|SoftMaker TextMaker
Document|||INFO|Texinfo
Document|||Troff|Unix OS document processing system
Document|||TXT|ASCII or Unicode plain text file
Document|||UOF|Uniform Office Format
Document|||UOML|Unique Object Markup Language
Document|||VIA|Revoware VIA Document Project File
Document|||WPD|WordPerfect document
Document|||WPS|Microsoft Works document
Document|||WPT|Microsoft Works document template
Document|||WRD|WordIt! document
Document|||WRF|ThinkFree Write
Document|||WRI|Microsoft Write document
Document|||XHTML|XHTML eXtensible HyperText Markup Language
Document|||XHT|XHTML eXtensible HyperText Markup Language
Document|||XML|eXtensible Markup Language
Document|||XPS|XPS: Open XML Paper Specification
Financial records|||MYO|MYOB Limited (Windows) File
Financial records|||MYOB|MYOB Limited (Mac) File
Financial records|||TAX|TurboTax File
Financial records|||YNAB|You Need a Budget (YNAB) File
Financial records|||Tax2010|Tax filling software
Financial records|Financial data transfer formats||IFX|Interactive Financial Exchange XML-based specification for various forms of financial transactions
Financial records|Financial data transfer formats||OFX|Open Financial Exchange， open standard supported by CheckFree and Microsoft and partly by Intuit; SGML and later XML based
Financial records|Financial data transfer formats||QFX|proprietary pay-only format used only by Intuit
Financial records|Financial data transfer formats||QIF|Quicken Interchange Format open standard formerly supported by Intuit
Font file|||ABF|Adobe Binary Screen Font
Font file|||AFM|Adobe Font Metrics<!-- (generally only used in UNIX environments) Not entirely true... -->
Font file|||BDF|Bitmap Distribution Format
Font file|||BMF|ByteMap Font Format
Font file|||BRFNT|Binary Revolution Font Format
Font file|||FNT|Bitmapped Font – Graphics Environment Manager (GEM)
Font file|||FON|Bitmapped Font – Microsoft Windows
Font file|||MGF|MicroGrafx Font
Font file|||OTF|OpenType Font
Font file|||PCF|Portable Compiled Format
Font file|||PFA|Printer Font ASCII
Font file|||PFB|Printer Font Binary – Adobe
Font file|||PFM|Printer Font Metrics – Adobe
Font file|||AFM|Adobe Font Metrics
Font file|||FOND|Font Description resource – Mac OS
Font file|||SFD|FontForge spline font database Font
Font file|||SNF|Server Normal Format
Font file|||TDF|TheDraw Font
Font file|||TFM|TeX font metric
Font file|||TTF|TrueType Font
Font file|||TTC|TrueType Font
Font file|||UFO|Unified Font Object is a cross-platform, cross-application, human readable, future proof format for storing font data.
Font file|||WOFF|Web Open Font Format
General purpose|||IFDS|Incredibly Flexible Data Storage file format. File extension and the magic number does not have to be IFDS.
Geographic information system|||ASC|ASCII point of interest (POI) text file
Geographic information system|||APR|ESRI ArcView 3.3 and earlier project file
Geographic information system|||DEM|USGS DEM file format
Geographic information system|||E00|ARC/INFO interchange file format
Geographic information system|||GeoJSON|Geographically located data in object notation
Geographic information system|||TopoJSON|Extension of GeoJSON with topology encoded in arcs for web development
Geographic information system|||GeoTIFF|Geographically located raster data
Geographic information system|||GML|Geography Markup Language file
Geographic information system|||GPX|XML-based interchange format
Geographic information system|||ITN|TomTom Itinerary format
Geographic information system|||MXD|ESRI ArcGIS project file, 8.0 and higher
Geographic information system|||NTF|National Transfer Format file
Geographic information system|||OV2|TomTom POI overlay file
Geographic information system|||SHP|ESRI shapefile
Geographic information system|||TAB|MapInfo TAB format
Geographic information system|||GeoTIFF|Geographically located raster data: text file giving corner coordinate, raster cells per unit, and rotation
Geographic information system|||DTED|Digital Terrain Elevation Data
Geographic information system|||KML|Keyhole Markup Language, XML-based
Graphical information organizers|||3DT|3D Topicscape, the database in which the meta-data of a 3D Topicscape is held, it is a form of 3D concept map (like a 3D mind-map) used to organize ideas, information, and computer files
Graphical information organizers|||ATY|3D Topicscape file, produced when an association type is exported; used to permit round-trip (export Topicscape, change files and folders as desired, re-import to 3D Topicscape)
Graphical information organizers|||CAG (file format)|Linear Reference System
Graphical information organizers|||FES (file format)|3D Topicscape file, produced when a fileless occurrence in 3D Topicscape is exported to Windows. Used to permit round-trip (export Topicscape, change files and folders as desired, re-import them to 3D Topicscape)
Graphical information organizers|||MGMF|MindGenius Mind Mapping Software file format
Graphical information organizers|||MM|FreeMind mind map file (XML)
Graphical information organizers|||MMP (file format)|Mind Manager mind map file
Graphical information organizers|||TPC (file format)|3D Topicscape file, produced when an inter-Topicscape topic link file is exported to Windows; used to permit round-trip (export Topicscape, change files and folders as desired, re-import to 3D Topicscape)
Graphics|Color palettes||ACT|Adobe Color Table. Contains a raw color palette and consists of 256 24-bit RGB colour values.
Graphics|Color palettes||ASE|Adobe Swatch Exchange. Used by Adobe Substance, Photoshop, Illustrator, and InDesign.
Graphics|Color palettes||GPL|GIMP palette file. Uses a text representation of color names and RGB values. Various open source graphical editors can read this format,
Graphics|Color palettes||PAL|Microsoft RIFF palette file
Graphics|Color management||ICC|Color profile conforming the specification of the ICC.
Graphics|Color management||ICM|Color profile conforming the specification of the ICC.
Graphics|Raster graphics||ART|America Online proprietary format
Graphics|Raster graphics||BLP|Blizzard Entertainment proprietary texture format
Graphics|Raster graphics||BMP|Microsoft Windows Bitmap formatted image
Graphics|Raster graphics||BTI|Nintendo proprietary texture format
Graphics|Raster graphics||CD5|Chasys Draw IES image
Graphics|Raster graphics||CIT|Intergraph is a monochrome bitmap format
Graphics|Raster graphics||CPT|Corel PHOTO-PAINT image
Graphics|Raster graphics||CR2|Canon camera raw format; photos have this on some Canon cameras if the quality RAW is selected in camera settings
Graphics|Raster graphics||CLIP|CLIP STUDIO PAINT format
Graphics|Raster graphics||CPL|Windows control panel file
Graphics|Raster graphics||DDS|DirectX texture file
Graphics|Raster graphics||DIB|Device-Independent Bitmap graphic
Graphics|Raster graphics||DjVu|DjVu for scanned documents
Graphics|Raster graphics||EGT|EGT Universal Document, used in EGT SmartSense to compress PNG files to yet a smaller file
Graphics|Raster graphics||EXIF|Exchangeable image file format (Exif) is a specification for the image format used by digital cameras
Graphics|Raster graphics||GIF|CompuServe's Graphics Interchange Format
Graphics|Raster graphics||GRF|Zebra Technologies proprietary format
Graphics|Raster graphics||ICNS|format for icons in macOS. Contains bitmap images at multiple resolutions and bitdepths with alpha channel.
Graphics|Raster graphics||ICO|a format used for icons in Microsoft Windows. Contains small bitmap images at multiple resolutions and bitdepths with 1-bit transparency or alpha channel.
Graphics|Raster graphics||IFF|IFF ILBM
Graphics|Raster graphics||ILBM|IFF ILBM
Graphics|Raster graphics||LBM|IFF ILBM
Graphics|Raster graphics||JNG|a single-frame MNG using JPEG compression and possibly an alpha channel
Graphics|Raster graphics||JPEG|Joint Photographic Experts Group; a lossy image format widely used to display photographic images
Graphics|Raster graphics||JFIF|Joint Photographic Experts Group; a lossy image format widely used to display photographic images
Graphics|Raster graphics||JPG|Joint Photographic Experts Group; a lossy image format widely used to display photographic images
Graphics|Raster graphics||JPEG|Joint Photographic Experts Group; a lossy image format widely used to display photographic images
Graphics|Raster graphics||JP2|JPEG2000
Graphics|Raster graphics||JPS|JPEG Stereo
Graphics|Raster graphics||JXL|JPEG XL, an image format designed for professional photography and web images; supports wide color gamut, high dynamic range, animations, and a max resolution of 1,073,741,823 x 1,073,741,824
Graphics|Raster graphics||KRA|Krita image file
Graphics|Raster graphics||LBM|Deluxe Paint image file
Graphics|Raster graphics||MAX|ScanSoft PaperPort document
Graphics|Raster graphics||MIFF|ImageMagick's native file format
Graphics|Raster graphics||MNG|Multiple-image Network Graphics, the animated version of PNG
Graphics|Raster graphics||MSP|a format used by old versions of Microsoft Paint; replaced by BMP in Microsoft Windows 3.0
Graphics|Raster graphics||NEF|Nikon camera raw format; photos have this on some Nikon cameras if the quality RAW is selected in camera settings
Graphics|Raster graphics||NITF|A U.S. Government standard commonly used in Intelligence systems
Graphics|Raster graphics||OTB|Over The Air bitmap, a specification designed by Nokia for black and white images for mobile phones
Graphics|Raster graphics||PBM|Portable bitmap
Graphics|Raster graphics||PC1|Low resolution, compressed Degas picture file
Graphics|Raster graphics||PC2|Medium resolution, compressed Degas picture file
Graphics|Raster graphics||PC3|High resolution, compressed Degas picture file
Graphics|Raster graphics||PCF|Pixel Coordination Format
Graphics|Raster graphics||PCX|a lossless format used by ZSoft's PC Paint, popular for a time on DOS systems.
Graphics|Raster graphics||PDD|Adobe PhotoDeluxe image
Graphics|Raster graphics||PDN|Paint.NET image file
Graphics|Raster graphics||PGF|Progressive Graphics File
Graphics|Raster graphics||PGM|Portable graymap
Graphics|Raster graphics||PI1|Low resolution, uncompressed Degas picture file
Graphics|Raster graphics||PI2|Medium resolution, uncompressed Degas picture file; also Portrait Innovations encrypted image format
Graphics|Raster graphics||PI3|High resolution, uncompressed Degas picture file
Graphics|Raster graphics||PICT|Apple Macintosh PICT image
Graphics|Raster graphics||PCT|Apple Macintosh PICT image
Graphics|Raster graphics||PNG|Portable Network Graphic (lossless, recommended for display and edition of graphic images)
Graphics|Raster graphics||PNM|Portable anymap graphic bitmap image
Graphics|Raster graphics||PNS|PNG Stereo
Graphics|Raster graphics||PPM|Portable Pixmap (Pixel Map) image
Graphics|Raster graphics||procreate|Procreate's drawing file
Graphics|Raster graphics||PSB|Adobe Photoshop Big image file (for large files)
Graphics|Raster graphics||PSD|Adobe Photoshop Document
Graphics|Raster graphics||PSP|Paint Shop Pro image
Graphics|Raster graphics||PX|Pixel image editor image file
Graphics|Raster graphics||PXM|Pixelmator image file
Graphics|Raster graphics||PXR|Pixar Image Computer image file
Graphics|Raster graphics||QFX|QuickLink Fax image
Graphics|Raster graphics||RAW|General term for minimally processed image data (acquired by a digital camera)
Graphics|Raster graphics||RLE|a run-length encoding image
Graphics|Raster graphics||SCT|Scitex Continuous Tone image file
Graphics|Raster graphics||SGI|Silicon Graphics Image
Graphics|Raster graphics||RGB|Silicon Graphics Image
Graphics|Raster graphics||INT|Silicon Graphics Image
Graphics|Raster graphics||BW|Silicon Graphics Image
Graphics|Raster graphics||TGA|Truevision TGA (Targa) image
Graphics|Raster graphics||TARGA|Truevision TGA (Targa) image
Graphics|Raster graphics||ICB|Truevision TGA (Targa) image
Graphics|Raster graphics||VDA|Truevision TGA (Targa) image
Graphics|Raster graphics||VST|Truevision TGA (Targa) image
Graphics|Raster graphics||PIX|Truevision TGA (Targa) image
Graphics|Raster graphics||TIFF|Tag(ged) Image File Format; usually lossless, but many variants exist, including lossy ones.
Graphics|Raster graphics||TIF|Tag(ged) Image File Format; usually lossless, but many variants exist, including lossy ones.
Graphics|Raster graphics||TIFF/EP|Tag Image File Format / Electronic Photography, ISO 12234-2; tends to be used as a basis for other formats rather than in its own right.
Graphics|Raster graphics||TIF|Tag Image File Format / Electronic Photography, ISO 12234-2; tends to be used as a basis for other formats rather than in its own right.
Graphics|Raster graphics||TIFF|Tag Image File Format / Electronic Photography, ISO 12234-2; tends to be used as a basis for other formats rather than in its own right.
Graphics|Raster graphics||VTF|Valve Texture Format
Graphics|Raster graphics||WEBP|WebP, an image format designed for the web that can provide both lossless and lossy compression.
Graphics|Raster graphics||XBM|X Window System Bitmap
Graphics|Raster graphics||XCF|GIMP image (from Gimp's origin at the eXperimental Computing Facility of the University of California)
Graphics|Raster graphics||XPM|X Window System Pixmap
Graphics|Raster graphics||ZIF|Zoomable/Zoomify Image Format (a web-friendly, TIFF-based, zoomable image format)
Graphics|Vector graphics||3DV file|3-D wireframe graphics by Oscar Garcia
Graphics|Vector graphics||AMF|Additive Manufacturing File Format
Graphics|Vector graphics||AWG|Ability Draw
Graphics|Vector graphics||AI|Adobe Illustrator Document
Graphics|Vector graphics||CGM|Computer Graphics Metafile, an ISO Standard
Graphics|Vector graphics||CDR|CorelDRAW Document
Graphics|Vector graphics||CMX|CorelDRAW vector image
Graphics|Vector graphics||DP|Drawing Program file for PERQ
Graphics|Vector graphics||DRAWIO|Diagrams.net offline diagram
Graphics|Vector graphics||DXF|ASCII Drawing Interchange file Format, used in AutoCAD and other CAD-programs
Graphics|Vector graphics||E2D|2-dimensional vector graphics used by the editor which is included in JFire
Graphics|Vector graphics||EGT|EGT Universal Document, EGT Vector Draw images are used to draw vector to a website
Graphics|Vector graphics||EPS|Encapsulated Postscript
Graphics|Vector graphics||FS|FlexiPro file.x
Graphics|Vector graphics||GBR|Gerber file
Graphics|Vector graphics||ODG|OpenDocument Drawing
Graphics|Vector graphics||MOVIE.BYU|3D Vector file for polygons, coordinates and more complex shapes
Graphics|Vector graphics||RenderMan|Displays Shading in both 2D and 3D scapes
Graphics|Vector graphics||SVG|Scalable Vector Graphics, employs XML
Graphics|Vector graphics||3DMLW|Scene description languages (3D vector image formats)
Graphics|Vector graphics||STL|Stereo Lithographic data format (see STL (file format)) used by various CAD systems and stereo lithographic printing machines. See above.
Graphics|Vector graphics||WRL|Virtual Reality Modeling Language, VRML Uses this extension for the creation of 3D viewable web images.
Graphics|Vector graphics||X3D|XML-based file for communicating 3D graphics
Graphics|Vector graphics||SXD|OpenOffice.org XML (obsolete) Drawing
Graphics|Vector graphics||TGAX|Texture format used by Zwift
Graphics|Vector graphics||V2D|voucher design used by the voucher management included in JFire
Graphics|Vector graphics||VDOC|Vector format used in AnyCut, CutStorm, DrawCut, DragonCut, FutureDRAW, MasterCut, SignMaster, VinylMaster software by Future Corporation
Graphics|Vector graphics||VSD|Vector format used by Microsoft Visio
Graphics|Vector graphics||VSDX|Vector format used by MS Visio and opened by VSDX Annotator
Graphics|Vector graphics||VND|Vision numeric Drawing file used in TypeEdit, Gravostyle.
Graphics|Vector graphics||WMF|Windows Meta File
Graphics|Vector graphics||EMF|Enhanced (Windows) MetaFile, an extension to WMF
Graphics|Vector graphics||ART|Xara–Drawing (superseded by XAR)
Graphics|Vector graphics||XAR|Xara–Drawing
Graphics|3D graphics||3DMF|QuickDraw 3D Metafile (.3dmf)
Graphics|3D graphics||3DM|OpenNURBS Initiative 3D Model (used by Rhinoceros 3D) (.3dm)
Graphics|3D graphics||3MF|"Microsoft 3D Manufacturing Format (.3mf)<ref name=""msdn.microsoft.com""/>"
Graphics|3D graphics||3DS|legacy 3D Studio Model (.3ds)
Graphics|3D graphics||ABC|Alembic (computer graphics)
Graphics|3D graphics||AC|AC3D Model (.ac)
Graphics|3D graphics||AMF|Additive Manufacturing File Format
Graphics|3D graphics||AN8|Anim8or Model (.an8)
Graphics|3D graphics||AOI|Art of Illusion Model (.aoi)
Graphics|3D graphics||ASM|PTC Creo assembly (.asm)
Graphics|3D graphics||B3D|Blitz3D Model (.b3d)
Graphics|3D graphics||BLEND|Blender (.blend)
Graphics|3D graphics||BLOCK|Blender encrypted blend files (.block)
Graphics|3D graphics||BMD3|Nintendo GameCube first-party J3D proprietary model format (.bmd)
Graphics|3D graphics||BDL4|Nintendo GameCube and Wii first-party J3D proprietary model format (2002, 2006–2010) (.bdl)
Graphics|3D graphics||BRRES|Nintendo Wii first-party proprietary model format 2010+ (.brres)
Graphics|3D graphics||BFRES|Nintendo Wii U and later Switch first-party proprietary model format
Graphics|3D graphics||C4D|Cinema 4D (.c4d)
Graphics|3D graphics||Cal3D|Cal3D (.cal3d)
Graphics|3D graphics||CCP4|X-ray crystallography voxels (electron density)
Graphics|3D graphics||CFL|Compressed File Library (.cfl)
Graphics|3D graphics||COB|Caligari Object (.cob)
Graphics|3D graphics||CORE3D|Coreona 3D Coreona 3D Virtual File(.core3d)
Graphics|3D graphics||CTM|OpenCTM (.ctm)
Graphics|3D graphics||DAE|COLLADA (.dae)
Graphics|3D graphics||DFF|RenderWare binary stream, commonly used by Grand Theft Auto III-era games as well as other RenderWare titles
Graphics|3D graphics||DPM|DeepMesh (.dpm)
Graphics|3D graphics||DTS|Torque Game Engine (DTS (file format))
Graphics|3D graphics||EGG|Panda3D Engine
Graphics|3D graphics||FACT|Electric Image (.fac)
Graphics|3D graphics||FBX|Autodesk FBX (.fbx)
Graphics|3D graphics||G|BRL-CAD geometry (.g)
Graphics|3D graphics||GLB|a binary form of glTF required to be loaded in Facebook 3D Posts. (.glb)
Graphics|3D graphics||GLM|Ghoul Mesh (.glm)
Graphics|3D graphics||glTF|the JSON-based standard developed by Khronos Group (.gltf)
Graphics|3D graphics||HEC|Hector Game Engine – Flatspace model format
Graphics|3D graphics||IO|Bricklink Stud.io 2.0 Model File (.io)
Graphics|3D graphics||IOB|Imagine (3D modeling software) (.iob)
Graphics|3D graphics||JAS|Cheetah 3D file (.jas)
Graphics|3D graphics||JMESH|Universal mesh data exchange file based on JMesh specification (.jmsh for text/JSON based, .bmsh for binary/UBJSON based)
Graphics|3D graphics||LDR|LDraw Model File (.ldr)
Graphics|3D graphics||LWO|Lightwave Object (.lwo)
Graphics|3D graphics||LWS|Lightwave Scene (.lws)
Graphics|3D graphics||LXF|LEGO Digital Designer Model file (.lxf)
Graphics|3D graphics||LXO|Luxology Modo (software) file (.lxo)
Graphics|3D graphics||M3D|Model3D, universal, engine-neutral format (.m3d)
Graphics|3D graphics||MA|Autodesk Maya ASCII File (.ma)
Graphics|3D graphics||MAX|Autodesk 3D Studio Max file (.max)
Graphics|3D graphics||MB|Autodesk Maya Binary File (.mb)
Graphics|3D graphics||MPD|LDraw Multi-Part Document Model File (.mpd)
Graphics|3D graphics||MD2|MD2: Quake 2 model format (.md2)
Graphics|3D graphics||MD3|MD3: Quake 3 model format (.md3)
Graphics|3D graphics||MD5|MD5: Doom 3 model format (.md5)
Graphics|3D graphics||MDX|Blizzard Entertainment's own model format (.mdx)
Graphics|3D graphics||MESH|New York University(.m)
Graphics|3D graphics||MESH|Meshwork Model (.mesh)
Graphics|3D graphics||MIOBJECT|Mine-Imatorobject file (.miobject)
Graphics|3D graphics||MIPARTICLE|Mine-Imatorparticle file (.miparticle)
Graphics|3D graphics||MIMODEL|Mine-Imatormodel file (.mimodel)
Graphics|3D graphics||MM3D|Misfit Model 3d (.mm3d)
Graphics|3D graphics||MPO|Multi-Picture Object – This JPEG standard is used for 3d images, as with the Nintendo 3DS
Graphics|3D graphics||MRC|MRC: voxels in cryo-electron microscopy
Graphics|3D graphics||NIF|Gamebryo NetImmerse File (.nif)
Graphics|3D graphics||NWC|Navisworks - cached version of the converted model geometry
Graphics|3D graphics||NWD|Navisworks - publish format
Graphics|3D graphics||NWF|Navisworks - working format for projects
Graphics|3D graphics||OBJ|Wavefront .obj file (.obj)
Graphics|3D graphics||OFF|OFF Object file format (.off)
Graphics|3D graphics||OGEX|Open Game Engine Exchange (OpenGEX) format (.ogex)
Graphics|3D graphics||PLY|PLY: Polygon File Format / Stanford Triangle Format (.ply)
Graphics|3D graphics||PRC|Adobe PRC (embedded in PDF files)
Graphics|3D graphics||PRT|PTC Creo part (.prt)
Graphics|3D graphics||POV|POV-Ray document (.pov)
Graphics|3D graphics||R3D|Realsoft 3D (Real-3D) (.r3d)
Graphics|3D graphics||RWX|RenderWare Object (.rwx)
Graphics|3D graphics||SIA|Nevercenter Silo Object (.sia)
Graphics|3D graphics||SIB|Nevercenter Silo Object (.sib)
Graphics|3D graphics||SKP|SketchUp file (.skp)
Graphics|3D graphics||SLDASM|SolidWorks Assembly Document (.sldasm)
Graphics|3D graphics||SLDPRT|SolidWorks Part Document (.sldprt)
Graphics|3D graphics||SMD|Valve Studiomdl Data format (.smd)
Graphics|3D graphics||U3D|Universal 3D format (.u3d)
Graphics|3D graphics||USD|Universal Scene Description (.usd)
Graphics|3D graphics||USDA|Universal Scene Description, human-readable text format (.usda)
Graphics|3D graphics||USDC|Universal Scene Description, binary format (.usdc)
Graphics|3D graphics||USDZ|Universal Scene Description, a zip-compressed container (.usdz)
Graphics|3D graphics||VIM|Revizto visual information model format (.vimproj)
Graphics|3D graphics||VRML97|VRML Virtual reality modeling language (.wrl)
Graphics|3D graphics||VUE|Vue scene file (.vue)
Graphics|3D graphics||VWX|Vectorworks (.vwx)
Graphics|3D graphics||WINGS|Wings3D (.wings)
Graphics|3D graphics||W3D|Westwood 3D Model (.w3d)
Graphics|3D graphics||X|DirectX 3D Model (.x)
Graphics|3D graphics||X3D|Extensible 3D (.x3d)
Graphics|3D graphics||Z3D|Zmodeler (.z3d)
Graphics|3D graphics||ZBMX|Mecabricks Blender Add-On (.zbmx)
Links and shortcuts|||Alias|Alias (Mac OS)
Links and shortcuts|||JNLP|Java Network Launching Protocol, an XML file used by Java Web Start for starting Java applets over the Internet
Links and shortcuts|||LNK|binary-format file shortcut in Microsoft Windows 95 and later
Links and shortcuts|||APPREF-MS|File shortcut format used by ClickOnce
Links and shortcuts|||NAL|ZENworks Instant shortcut (opens a .EXE not on the C:\ drive)
Links and shortcuts|||URL|INI file pointing to a URL bookmarks/Internet shortcut in Microsoft Windows
Links and shortcuts|||WEBLOC|Property list file pointing to a URL bookmarks/Internet shortcut in macOS
Links and shortcuts|||SYM|Symbolic link
Links and shortcuts|||DESKTOP|Desktop entry on Linux Desktop environments
Mathematical|||Harwell-Boeing|a file format designed to store sparse matrices
Mathematical|||MML|MathML – Mathematical Markup Language
Mathematical|||ODF|OpenDocument Math Formula
Mathematical|||SXM|OpenOffice.org XML (obsolete) Math Formula
Mathematical|||G3K|an obscure, uncommon format used by the CASIO graphing calculators to store keylogs
Object code, executable files, shared and dynamically linked libraries|||8BF|files plugins for some photo editing programs including Adobe Photoshop, Paint Shop Pro, GIMP and Helicon Filter.
Object code, executable files, shared and dynamically linked libraries|||.a|a static library on Unix-like systems
Object code, executable files, shared and dynamically linked libraries|||.a|Objective C native static library
Object code, executable files, shared and dynamically linked libraries|||a.out|(no suffix for executable image, .o for object files, .so for shared object files) classic Unix object format, now often superseded by ELF
Object code, executable files, shared and dynamically linked libraries|||APK|Android Package
Object code, executable files, shared and dynamically linked libraries|||APP|A folder found on macOS systems containing program code and resources, appearing as one file.
Object code, executable files, shared and dynamically linked libraries|||.app|file extension are executable application packages for running apps on HarmonyOS, OpenHarmony and Oniro devices.
Object code, executable files, shared and dynamically linked libraries|||APP|file extension are executable application packages for running apps on HarmonyOS, OpenHarmony and Oniro devices.
Object code, executable files, shared and dynamically linked libraries|||BAC|an executable image for the RSTS/E system, created using the BASIC-PLUS 
Object code, executable files, shared and dynamically linked libraries|||BPL|a Win32 PE file created with Delphi or C++Builder containing a package.
